通貨ペア	買い業者	売り業者	買いswap	売りswap	買い+売りswap	100万・100万で両建てした時のswap	spread分を取り戻すまでの日数
EUR/JPY	FXトレード・フィナンシャル(高速FX)	DMM FX	7	-2	5	3.6902547751897	22
USD/JPY	サクソバンクFX(スタンダード)	DMM FX	5	-1	4	3.3593402255797	17.5
USD/JPY	サクソバンクFX(FX CHOICE)	DMM FX	5	-1	4	3.3593402255797	22.5
NZD/JPY	DMM FX	FXプライム(選べる外貨)	75	-72	3	3.3488870532027	116.66666666667
GBP/JPY	YJFX!(外貨ex)	FXブロードネット	24	-18	6	3.2730902881956	108.33333333333
GBP/JPY	サクソバンクFX(スタンダード)	DMM FX	21	-15	6	3.2730902881956	60
GBP/JPY	FXトレード・フィナンシャル(高速FX)	GMOクリック証券(FXネオ)	37	-31	6	3.2730902881956	35
GBP/JPY	サクソバンクFX(FX CHOICE)	DMM FX	21	-15	6	3.2730902881956	76.666666666667
AUD/USD	外為オンライン	みんなのFX	55	-52	3	3.2123353678124	79.380666666667
AUD/JPY	みんなのFX	FXプライム(選べる外貨)	50	-47	3	3.2123353678124	66.666666666667
